,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,north bend,50.3333,3.6667,23.0,86,83,6.91,FR,1613098325
85,hay river,52.0705,-3.1274,30.0,76,100,4.0,GB,1613098325
86,saint-philippe,-21.3585,55.7679,75.2,69,84,8.05,RE,1613098325
87,morehead,37.2711,-87.1764,27.0,86,90,3.44,US,1613098325
88,hilo,19.7297,-155.09,77.0,61,90,10.36,US,1613098326
89,grand river south east,38.8755,-109.5012,48.0,36,1,3.33,US,1613098326
90,butler,39.4501,-84.5666,21.99,68,1,8.05,US,1613098327
91,sahy,48.0741,18.9495,16.0,72,0,11.01,SK,1613098327
92,vacaria,-28.5122,-50.9339,57.29,99,34,5.79,BR,1613098327
93,nemuro,43.3236,145.575,30.2,59,20,10.36,JP,1613098148
94,tabou,4.423,-7.3528,77.9,89,47,6.76,CI,1613098328
95,airai,-8.9266,125.4092,74.25,78,46,2.26,TL,1613098328
96,namibe,-15.1961,12.1522,72.37,79,94,3.58,AO,1613098328
97,dabat,12.9842,37.765,45.99,55,64,3.53,ET,1613098328
98,qaanaaq,77.484,-69.3632,5.59,71,0,7.56,GL,1613098274
99,sobolevo,54.4299,31.8996,4.89,94,100,18.77,RU,1613098329
100,kapaa,22.0752,-159.319,75.2,57,1,6.91,US,1613098116
101,victoria,22.2855,114.1577,66.99,65,0,4.0,HK,1613098098
102,gravdal,68.1214,13.5031,35.22,78,100,33.55,NO,1613098329
103,tres lagoas,46.3231,11.0969,21.99,59,5,2.39,IT,1613098329
104,bethel,41.3712,-73.414,24.01,54,1,8.05,US,1613098329
105,rocha,-34.4833,-54.3333,68.32,92,100,10.25,UY,1613098153
106,egvekinot,66.3167,-179.1667,-20.72,84,0,10.78,RU,1613098330
107,kaitangata,-46.2817,169.8464,61.0,65,2,8.99,NZ,1613098330
108,bandiagara,14.3501,-3.6104,76.86,16,0,9.57,ML,1613098330
109,port keats,-7.0349,29.7638,73.2,72,100,6.35,CD,1613098330
110,jinan,36.6683,116.9972,61.0,52,3,1.99,CN,1613098269
111,sao joao da barra,20.5113,76.2129,71.55,22,99,7.58,IN,1613098078
112,jiaonan,35.8786,119.9753,53.6,66,81,8.95,CN,1613098207
113,mega,4.05,38.3,61.66,49,87,5.84,ET,1613098178
114,taltal,-25.4,-70.4833,65.82,73,1,2.19,CL,1613098331
115,codrington,-38.2667,141.9667,67.66,52,92,12.95,AU,1613098332
116,albany,42.6001,-73.9662,17.6,53,20,8.05,US,1613097910
117,atuona,-9.8,-139.0333,79.59,74,0,9.91,PF,1613098332
118,azad shahr,40.695,46.5106,42.8,93,90,4.61,AZ,1613098332
119,provideniya,64.3833,-173.3,-4.0,65,75,38.03,RU,1613098332
120,stawell,-37.05,142.7667,75.25,33,1,10.94,AU,1613098333
121,kindu,-2.95,25.95,70.75,96,100,1.39,CD,1613098333
122,severo-kurilsk,50.6789,156.125,31.73,91,88,3.62,RU,1613098333
123,mantua,45.1667,10.7833,39.99,71,82,11.99,IT,1613098333
124,port hedland,-7.0349,29.7638,73.2,72,100,6.35,CD,1613098317
125,chik,54.9928,82.4311,-25.6,75,0,4.47,RU,1613098333
126,dedza,-14.3779,34.3332,58.55,100,100,1.21,MW,1613098334
127,aklavik,68.2191,-135.0107,-0.4,78,100,2.3,CA,1613098151
128,mirzapur,25.15,82.5833,57.2,94,37,2.8,IN,1613098334
129,pevek,69.7008,170.3133,-23.24,84,46,2.19,RU,1613098334
130,kulhudhuffushi,6.6221,73.07,80.01,65,0,8.43,MV,1613098334
131,peterhead,57.5058,-1.7981,35.6,69,90,18.41,GB,1613098335
132,mar del plata,43.4002,-4.0094,55.4,94,90,11.5,ES,1613098335
133,dingle,10.9995,122.6711,84.74,73,35,0.58,PH,1613098335
134,porto novo,41.1496,-8.611,55.4,94,75,5.75,PT,1613098036
135,dunedin,-45.8742,170.5036,57.0,66,20,14.0,NZ,1613098336
136,hobart,-42.8794,147.3294,73.0,40,40,17.27,AU,1613098086
137,fortuna,40.5982,-124.1573,48.99,100,90,3.44,US,1613098313
138,port hawkesbury,-7.0349,29.7638,73.2,72,100,6.35,CD,1613098330
139,port blair,-7.0349,29.7638,73.2,72,100,6.35,CD,1613098317
140,saskylakh,71.9167,114.0833,-15.11,86,100,3.51,RU,1613098336
141,bandarbeyla,9.4942,50.8122,71.31,77,56,11.34,SO,1613098300
142,tam ky,13.1339,12.1367,66.42,25,0,8.48,NE,1613098337
143,bara,10.3744,10.7288,64.42,27,0,5.03,NG,1613098337
144,constitucion,-35.3333,-72.4167,59.45,91,92,5.91,CL,1613097956
145,rivadavia,-33.1905,-68.4608,75.2,64,20,2.3,AR,1613098186
146,mys shmidta,62.0589,48.6201,-5.21,91,100,4.63,RU,1613098338
147,carnarvon,-24.8667,113.6333,84.2,58,71,16.11,AU,1613098338
148,skjervoy,70.0311,20.9714,33.75,87,100,32.75,NO,1613098338
149,natal,-5.795,-35.2094,80.6,83,40,11.5,BR,1613098176
150,mahebourg,-20.4081,57.7,78.8,73,75,8.05,MU,1613098338
151,dikson,73.5069,80.5464,-14.22,89,99,6.15,RU,1613098339
152,leh,34.1667,77.5833,8.6,68,0,2.26,IN,1613098274
153,isabela,6.7085,121.9711,86.0,79,40,5.75,PH,1613098339
154,moerai,-22.4333,-151.3333,82.02,66,33,9.78,PF,1613098339
155,hasaki,35.7333,140.8333,52.0,57,75,5.75,JP,1613098339
156,atar,20.5169,-13.0499,65.34,21,0,10.56,MR,1613098340
157,nawa,27.0167,75.0,63.0,34,100,6.91,IN,1613098340
158,lokosovo,61.1333,74.8167,-27.33,85,67,6.4,RU,1613098340
159,petropavlovsk-kamchatskiy,53.0452,158.6483,28.4,64,93,4.47,RU,1613098340
